ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Iteration Path,State,UserRole,Preconditions,ShortDescription,Description,Priority,Tags
,,,6,Click Assign Location button to open dialog,Assign Location dialog stepper opens,,,,,,,,,
,,,7,Click Cancel or Close button on the dialog without completing operation,Dialog closes without completing the assignment,,,,,,,,,
,,,8,Verify all previous selections are still intact,Selection count remains same and same records are still selected,,,,,,,,,
,,,9,Verify grid data has not changed,Grid displays same data as before dialog was opened,,,,,,,,,
,,,10,Repeat steps 6-9 for Assign Staff dialog,Selections retained after canceling Assign Staff dialog,,,,,,,,,
,,,11,Repeat steps 6-9 for Unassign Location dialog,Selections retained after canceling Unassign Location dialog,,,,,,,,,
,,,12,Repeat steps 6-9 for Unassign Staff dialog,Selections retained after canceling Unassign Staff dialog,,,,,,,,,
,,,13,Logout from the application,User successfully logs out,,,,,,,,,
,Test Case,[Bulk Assignment] Verify multiple sequential bulk operations retain selections without refresh,,,,DC-ST\Carity,DC-ST\Teams\Kolar Gold Fields,Design,authorized users,User has bulk assignment privileges. Multiple persons exist that can have both location and staff assigned.,AC: PBI 915981 - Selections persist across multiple sequential bulk operations. List never refreshes.,AC: PBI 915981 - Verify selections retained and list not refreshed when performing multiple bulk operations sequentially on same selection.,2,AICreated
,,,1,Login to the application with valid credentials,User successfully logs in and lands on the home page,,,,,,,,,
,,,2,Navigate to the 3 dot ellipsis menu and click Bulk Assignments,Bulk Assignment list view is displayed,,,,,,,,,
,,,3,Enter search criteria and click Search button,Search results are displayed in the grid with person records,,,,,,,,,
,,,4,Select multiple person records by clicking checkboxes,Selected records are highlighted and selection count is updated,,,,,,,,,
,,,5,Note the grid data and selection count,Initial state is recorded,,,,,,,,,
,,,6,Click Assign Location button and complete the assignment,Location assignment completes successfully,,,,,,,,,
,,,7,Verify list is NOT refreshed and selections are retained,Grid shows same data and same records remain selected,,,,,,,,,
,,,8,Click Assign Staff button and complete the assignment,Staff assignment completes successfully,,,,,,,,,
,,,9,Verify list is NOT refreshed and selections are retained,Grid shows same data and same records remain selected,,,,,,,,,
,,,10,Click Unassign Location button and complete the unassignment,Location unassignment completes successfully,,,,,,,,,
,,,11,Verify list is NOT refreshed and selections are retained,Grid shows same data and same records remain selected,,,,,,,,,
,,,12,Click Unassign Staff button and complete the unassignment,Staff unassignment completes successfully,,,,,,,,,
,,,13,Verify list is NOT refreshed and selections are retained,Grid shows same data and same records remain selected,,,,,,,,,
,,,14,Logout from the application,User successfully logs out,,,,,,,,,
